Canton,Canton,Mean number in DG1,Mean % in DG1,Mean number in DG2,Mean % in DG2,Mean number in DG3,Mean % in DG3,Mean number in DG4,Mean % in DG4,Mean number in DG5,Mean % in DG5,Mean number in DG1-DG5,Mean % in DG1-DG5
AG,AG,9051.410,4.804,1776.606,0.943,141.766,0.075,65.239,0.035,22.813,0.012,11057.834,5.869
AI,AI,5.013,0.070,0.047,0.001,0.000,0.000,0.000,0.000,0.000,0.000,5.060,0.070
AR,AR,14.683,0.069,0.145,0.001,0.001,0.000,0.000,0.000,0.000,0.000,14.830,0.070
BE,BE,12637.351,4.092,1840.464,0.596,159.606,0.052,54.769,0.018,16.811,0.005,14709.001,4.762
BL,BL,9458.319,12.525,2478.218,3.282,206.262,0.273,89.022,0.118,29.747,0.039,12261.568,16.237
BS,BS,5349.559,20.013,840.264,3.144,99.900,0.374,19.657,0.074,2.672,0.010,6312.051,23.614
FL,FL,34.583,0.259,0.559,0.004,0.025,0.000,0.002,0.000,0.000,0.000,35.170,0.263
FR,FR,491.113,0.548,16.213,0.018,0.578,0.001,0.056,0.000,0.006,0.000,507.967,0.567
GE,GE,166.774,0.288,2.102,0.004,0.061,0.000,0.001,0.000,0.000,0.000,168.938,0.291
GL,GL,120.953,0.641,2.701,0.014,0.113,0.001,0.003,0.000,0.000,0.000,123.770,0.656
GR,GR,120.243,0.107,3.088,0.003,0.154,0.000,0.005,0.000,0.000,0.000,123.490,0.110
JU,JU,1272.067,4.256,224.726,0.752,15.041,0.050,5.065,0.017,1.274,0.004,1518.173,5.079
LU,LU,2856.875,2.814,463.265,0.456,32.059,0.032,12.022,0.012,3.203,0.003,3367.423,3.317
NE,NE,376.205,0.920,13.402,0.033,0.871,0.002,0.121,0.000,0.016,0.000,390.614,0.955
NW,NW,164.715,1.443,6.841,0.060,0.338,0.003,0.019,0.000,0.000,0.000,171.912,1.506
OW,OW,127.057,0.890,6.424,0.045,0.257,0.002,0.019,0.000,0.002,0.000,133.759,0.937
SG,SG,547.936,0.369,11.686,0.008,0.497,0.000,0.019,0.000,0.000,0.000,560.139,0.377
SH,SH,239.709,1.023,5.632,0.024,0.198,0.001,0.006,0.000,0.000,0.000,245.546,1.048
SO,SO,10431.668,12.576,3411.184,4.112,370.394,0.447,188.491,0.227,83.517,0.101,14485.252,17.462
SZ,SZ,273.270,0.626,7.541,0.017,0.260,0.001,0.009,0.000,0.000,0.000,281.080,0.644
TG,TG,435.518,0.514,9.439,0.011,0.337,0.000,0.010,0.000,0.000,0.000,445.304,0.526
TI,TI,130.246,0.093,2.057,0.001,0.070,0.000,0.001,0.000,0.000,0.000,132.373,0.094
UR,UR,74.439,0.475,2.846,0.018,0.133,0.001,0.004,0.000,0.000,0.000,77.423,0.494
VD,VD,591.463,0.353,17.302,0.010,0.901,0.001,0.052,0.000,0.002,0.000,609.721,0.364
VS,VS,268.159,0.184,8.485,0.006,0.421,0.000,0.014,0.000,0.000,0.000,277.078,0.190
ZG,ZG,453.753,2.147,26.596,0.126,1.400,0.007,0.138,0.001,0.013,0.000,481.900,2.280
ZH,ZH,3913.637,1.512,126.915,0.049,6.813,0.003,0.507,0.000,0.034,0.000,4047.906,1.564
