Canton,Canton,Mean contents economic loss [M CHF],Percentage of contents economic loss
AG,AG,95.35377,0.13126
AI,AI,0.00700,0.00038
AR,AR,0.02749,0.00043
BE,BE,94.29163,0.09246
BL,BL,105.82530,0.36948
BS,BS,57.21087,0.34418
FL,FL,0.10016,0.00175
FR,FR,1.73514,0.00549
GE,GE,0.60478,0.00190
GL,GL,0.26248,0.00457
GR,GR,0.28654,0.00101
JU,JU,9.28242,0.09353
LU,LU,34.14074,0.07583
NE,NE,1.28486,0.00728
NW,NW,0.68419,0.01627
OW,OW,0.56345,0.01381
SG,SG,1.09304,0.00195
SH,SH,0.56486,0.00622
SO,SO,183.01151,0.61047
SZ,SZ,0.80864,0.00553
TG,TG,0.95268,0.00285
TI,TI,0.26283,0.00069
UR,UR,0.19090,0.00519
VD,VD,1.97771,0.00262
VS,VS,0.65566,0.00175
ZG,ZG,4.33789,0.03644
ZH,ZH,18.87190,0.01637
